,Zip,Household Income Change,Median Home Value Change,% Bachelors+ Change,Starbucks Store Count,Walmart Store Count
487,13845,15.05,10.15,0.0,0.0,0.0
488,13846,-42.77,-5.55,1.32,0.0,0.0
489,13847,90.42,-29.51,-10.05,0.0,0.0
490,13849,23.42,4.21,8.79,0.0,0.0
491,13850,2.05,4.07,-8.58,3.0,1.0
492,13856,26.38,0.79,-3.17,0.0,0.0
493,13859,-22.43,60.26,46.41,0.0,0.0
494,13860,0.27,18.35,-40.89,0.0,0.0
495,13861,47.21,3.03,18.74,0.0,0.0
496,13862,28.97,1.24,2.15,0.0,0.0
497,13863,37.42,1.18,18.15,0.0,0.0
498,13864,-31.2,48.8,-3.69,0.0,0.0
499,13865,27.46,25.42,0.37,0.0,0.0
500,13901,10.66,15.08,-4.53,0.0,0.0
501,13902,15.05,10.15,52.29,0.0,0.0
502,13903,6.73,18.38,2.4,0.0,0.0
503,13904,17.93,12.87,-0.34,0.0,0.0
504,13905,21.02,14.06,3.68,1.0,0.0
505,14001,8.26,4.13,6.73,0.0,0.0
506,14004,34.26,20.6,-1.68,0.0,0.0
507,14005,21.76,3.79,6.98,0.0,0.0
508,14006,1.91,17.77,3.13,0.0,0.0
509,14008,12.11,8.99,12.7,0.0,0.0
510,14009,7.57,15.2,-3.79,0.0,0.0
511,14011,13.81,11.93,-5.48,0.0,0.0
512,647,8.87,21.24,8.04,0.0,0.0
513,650,23.93,-8.28,8.15,0.0,0.0
514,652,56.04,-21.23,5.08,0.0,0.0
515,653,1.67,10.12,6.79,0.0,0.0
516,656,12.7,0.37,8.1,0.0,0.0
517,659,-3.62,-7.61,8.38,0.0,1.0
518,660,-0.79,12.14,4.99,0.0,0.0
519,662,26.04,3.8,5.57,0.0,1.0
520,664,-9.32,-2.49,10.07,0.0,0.0
521,667,-7.16,-7.0,7.3,0.0,0.0
522,669,16.79,-10.75,9.09,0.0,0.0
523,670,-12.99,-7.62,7.41,0.0,0.0
524,674,13.25,-2.18,7.26,0.0,1.0
525,676,4.92,-0.92,7.4,0.0,0.0
526,677,29.21,12.55,6.88,0.0,0.0
527,678,22.45,-0.37,8.5,0.0,0.0
528,680,0.49,3.2,6.78,0.0,1.0
529,682,4.03,9.99,2.27,0.0,0.0
530,683,1.62,0.0,5.04,0.0,0.0
531,685,11.58,-6.07,7.06,0.0,0.0
532,687,48.43,1.21,11.15,0.0,0.0
533,688,17.39,3.89,4.96,0.0,0.0
534,690,2.46,5.65,13.62,0.0,0.0
